standard_id,standard_number,title,description,status,category,version_year
BIS-EL-001,IS 16102 (Part 1) : 2012,Self-Ballasted LED Lamps for General Lighting Services - Part 1 Safety Requirements,"Safety requirements for self-ballasted LED lamps for general lighting services having a rated power up to 60 W and a rated voltage of 50 V to 250 V d.c. or a.c. 50Hz. Covers insulation resistance, electric strength, mechanical strength, and heat resistance.",Active,Electrical & Lighting,2012
BIS-EL-002,IS 16102 (Part 2) : 2012,Self-Ballasted LED Lamps for General Lighting Services - Part 2 Performance Requirements,"Performance specifications for LED lamps including initial luminous flux, lamp power, efficacy (lumens per watt), color rendering index (CRI >= 80), correlated color temperature (CCT), and lumen maintenance life.",Active,Electrical & Lighting,2012
BIS-EL-003,IS 694 : 2010,Polyvinyl Chloride (PVC) Insulated Cables for Working Voltages Up to and Including 1100 V,"Single core and multicore PVC insulated unsheathed and sheathed flexible cables for working voltages up to 1100 V. Covers copper and aluminium conductors, insulation thickness, flame retardant properties, and conductor resistance testing.",Active,Electrical & Cables,2010
BIS-EL-004,IS 14286 : 2019,Crystalline Silicon Terrestrial Photovoltaic (PV) Modules - Design Qualification and Type Approval,"Terrestrial PV modules suitable for continuous operation in open-air climates. Specifies requirements for thermal cycling, humidity freeze, damp heat, mechanical load, hail impact, and electrical insulation tests.",Active,Renewable Energy & Solar,2019
BIS-EL-005,IS 1180 (Part 1) : 2014,Outdoor Type Oil Immersed Distribution Transformers Up to and Including 2500 kVA 33 kV,"Specifications for energy efficient outdoor distribution transformers. Includes maximum total losses at 50 percent and 100 percent loading, temperature rise limits, short circuit withstand capabilities, and insulation levels.",Active,Power Distribution,2014
BIS-EL-006,IS 13779 : 1999,AC Static Watt-hour Meters Class 1 and 2 - Specification,"Requirements for static watt-hour meters for measurement of AC active electrical energy. Covers impulse voltage withstand, accuracy limits, electromagnetic compatibility (EMC), tamper detection, and display specifications.",Active,Metering & Smart Grid,1999
BIS-EL-007,IS 10322 (Part 5/Sec 1) : 2012,Luminaires - Particular Requirements - Fixed General Purpose Luminaires (LED Street Lighting),"Specific requirements for fixed general purpose luminaires using LED light sources for street, road, and flood lighting. Specifies IP65 weather protection, surge protection (10kV), thermal management, and glare control.",Active,Electrical & Lighting,2012
BIS-EL-008,IS 15885 (Part 2/Sec 13) : 2012,Lamp Controlgear - Particular Requirements for Electronic Controlgear for LED Modules,"Safety and performance requirements for d.c. or a.c. supplied electronic controlgear (LED drivers) used with LED modules. Specifies power factor (> 0.95), total harmonic distortion (THD < 10%), overvoltage protection, and short circuit protection.",Active,Electronics & Lighting,2012
BIS-EL-009,IS 7098 (Part 1) : 1988,Crosslinked Polyethylene (XLPE) Insulated Thermoplastic Sheathed Cables for Voltages Up to 1100 V,"Requirements for XLPE insulated copper and aluminium heavy duty cables for power transmission and distribution. Covers tensile strength, thermal rating up to 90 degrees C, water absorption, and armouring specifications.",Active,Electrical & Cables,1988
BIS-EL-010,IS 9000 (Part 5) : 1981,Basic Environmental Testing Procedures for Electronic and Electrical Items - Damp Heat Test,Standard testing procedures for electronic and electrical equipment to determine suitability under conditions of high humidity combined with cyclic temperature changes.,Active,Quality & Testing,1981
BIS-EL-011,IS 3043 : 2018,Code of Practice for Earthing and Grounding Installations,"Guidelines for earthing of electrical installations, grounding electrode design, soil resistivity measurement, earthing pit maintenance, and surge earthing for building safety and power infrastructure.",Active,Electrical Safety,2018
BIS-EL-012,IS 12615 : 2018,Line Operated Three Phase Induction Motors - Efficiency Classes (IE3 / IE4),"Specification for energy efficient 3-phase induction motors used in industrial pumps, fans, and machinery. Details loss measurement methods, energy efficiency class IE3/IE4 performance benchmarks, and frame sizes.",Active,Industrial Machinery,2018
BIS-PDF-1789047840,IS-REG-7840,Business_Procurement_Tender_LED_Cement_PVC_Cables (1),"Standard specification text could not be automatically extracted from this PDF. This typically occurs with scanned documents, image-based PDFs, or encrypted files. Please refer to the physical document.",Active,Electrical & Procurement,2026
BIS-PDF-1789048125,IS-REG-8125,Business_Procurement_Tender_LED_Cement_PVC_Cables (1),"Standard specification text could not be automatically extracted from this PDF. This typically occurs with scanned documents, image-based PDFs, or encrypted files. Please refer to the physical document.",Active,Electrical & Procurement,2026
BIS-PDF-1789049059,IS-REG-9059,Business_Procurement_Tender_LED_Cement_PVC_Cables (1),"Standard specification text could not be automatically extracted from this PDF. This typically occurs with scanned documents, image-based PDFs, or encrypted files. Please refer to the physical document.",Active,Electrical & Procurement,2026
BIS-PDF-1789049299,IS-REG-9299,Business_Procurement_Tender_LED_Cement_PVC_Cables (1),"Standard specification text could not be automatically extracted from this PDF. This typically occurs with scanned documents, image-based PDFs, or encrypted files. Please refer to the physical document.",Active,Electrical & Procurement,2026
